                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5107,                 1.6828,                 1.3734,                0.72998,                  0.768,                0.79114,                0.44955,                 1.3877,                 1.1394,                 1.2541,             0.00046981,             0.00046981,             0.00046981
                      2,                 1.2348,                 1.0992,                 1.1388,                0.78281,                0.80323,                0.84064,                0.50734,                 1.3262,                0.95029,                 1.2233,             0.00090542,             0.00090542,             0.00090542
                      3,                 1.2248,                 1.0402,                 1.1393,                0.72138,                0.79836,                0.84938,                0.54334,                 1.2605,                0.91962,                 1.2013,                 0.0013,                 0.0013,                 0.0013
                      4,                 1.1976,                 1.0363,                 1.1289,                0.77365,                0.80359,                0.87331,                0.55834,                  1.239,                0.95212,                 1.2042,              0.0012445,              0.0012445,              0.0012445
                      5,                  1.189,                0.97113,                 1.1285,                0.85823,                0.77121,                0.87705,                0.55299,                 1.2451,                0.91879,                 1.1985,              0.0012445,              0.0012445,              0.0012445
                      6,                 1.1565,                0.92751,                 1.1156,                0.80446,                0.85832,                0.88406,                0.55532,                 1.2485,                0.81648,                  1.203,               0.001183,               0.001183,               0.001183
                      7,                 1.1349,                0.87807,                 1.1107,                0.85106,                0.81251,                  0.856,                0.53113,                 1.2947,                0.87161,                 1.2112,              0.0011215,              0.0011215,              0.0011215
                      8,                 1.1266,                0.86169,                 1.0998,                0.84599,                0.82671,                0.89283,                0.55217,                 1.2762,                0.82754,                 1.2057,              0.0010599,              0.0010599,              0.0010599
                      9,                 1.1014,                0.83575,                 1.0906,                 0.9133,                0.81361,                0.90653,                 0.5718,                 1.2754,                0.75708,                 1.2361,             0.00099844,             0.00099844,             0.00099844
                     10,                 1.0972,                0.81817,                 1.0829,                0.86413,                0.79292,                0.89354,                0.56026,                 1.2819,                0.83636,                 1.2144,             0.00093693,             0.00093693,             0.00093693
                     11,                 1.0822,                0.77516,                 1.0811,                0.88154,                0.80612,                 0.9044,                0.57046,                 1.2925,                0.79336,                 1.2175,             0.00087542,             0.00087542,             0.00087542
                     12,                 1.0877,                0.75755,                 1.0814,                0.84917,                0.86234,                0.90436,                0.56457,                 1.2801,                0.75959,                  1.211,             0.00081391,             0.00081391,             0.00081391
                     13,                 1.0913,                0.75747,                 1.0843,                0.80357,                0.85176,                0.89041,                0.57559,                 1.2477,                0.75941,                 1.2116,              0.0007524,              0.0007524,              0.0007524
                     14,                 1.0577,                0.73297,                 1.0698,                0.90057,                0.85543,                 0.9196,                0.57854,                 1.2444,                0.72049,                 1.2101,             0.00069089,             0.00069089,             0.00069089
                     15,                 1.0434,                0.70688,                 1.0537,                0.87392,                0.83335,                0.89798,                 0.5837,                 1.2058,                0.74973,                 1.1856,             0.00062938,             0.00062938,             0.00062938
                     16,                 1.0371,                0.70067,                 1.0567,                0.86125,                0.81938,                0.91581,                0.56173,                 1.2767,                0.77631,                  1.248,             0.00056787,             0.00056787,             0.00056787
                     17,                 1.0228,                0.67134,                 1.0441,                0.87831,                0.88455,                0.91957,                0.57972,                 1.2675,                0.70173,                 1.2144,             0.00050636,             0.00050636,             0.00050636
                     18,                 1.0284,                0.66666,                 1.0412,                0.88965,                0.82285,                0.91811,                0.57895,                 1.2552,                0.69647,                 1.2267,             0.00044485,             0.00044485,             0.00044485
                     19,                  1.008,                0.65009,                 1.0446,                0.90116,                0.86182,                0.91113,                0.59207,                 1.2372,                0.70114,                 1.2215,             0.00038334,             0.00038334,             0.00038334
                     20,                0.99741,                0.62876,                 1.0406,                0.89307,                0.86966,                0.91111,                0.58175,                 1.2437,                0.68522,                 1.2289,             0.00032184,             0.00032184,             0.00032184
                     21,                0.98636,                0.63192,                 1.0294,                0.88258,                0.87138,                 0.9211,                0.58918,                 1.2454,                0.67979,                 1.2222,             0.00026033,             0.00026033,             0.00026033
                     22,                0.99194,                0.62179,                 1.0314,                0.90093,                0.85742,                0.91877,                0.60354,                 1.2053,                0.68512,                 1.1886,             0.00019882,             0.00019882,             0.00019882
                     23,                0.98048,                0.61103,                 1.0275,                0.90815,                0.84716,                0.91742,                0.59601,                 1.2276,                0.67948,                 1.1967,             0.00013731,             0.00013731,             0.00013731
